UF,Capital,nPessoas,sexo,idad,raca,educ,anosEst,ocup,cnae,rendOcup,rendEfet,classeOcup1,classeOcup2,peso,ln_rendaOcup,experiencia,ano
São Paulo,Município de São Paulo (SP),4,Homem,42,Parda,Superior completo,17,1330,64000,50000,50000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1424.66081722,10.8197782844103,19,2023
São Paulo,Município de São Paulo (SP),2,Homem,60,Branca,Superior completo,17,2212,86002,50000,50000,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,1508.11571178,10.8197782844103,37,2023
São Paulo,Município de São Paulo (SP),3,Homem,38,Parda,Superior completo,17,2212,86002,50000,50000,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,2653.74488845,10.8197782844103,15,2023
São Paulo,Município de São Paulo (SP),1,Homem,47,Branca,Superior completo,17,1346,64000,50000,80000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1723.25107438,10.8197782844103,24,2023
São Paulo,Município de São Paulo (SP),2,Homem,29,Branca,Superior incompleto ou equivalente,16,3435,90000,50000,50000,Outros Serviços,Técnicos e profissionais de nível médio,2222.75646715,10.8197782844103,7,2023
São Paulo,Município de São Paulo (SP),2,Homem,29,Branca,Superior incompleto ou equivalente,16,3435,90000,50000,50000,Outros Serviços,Técnicos e profissionais de nível médio,2222.75646715,10.8197782844103,7,2023
São Paulo,Município de São Paulo (SP),2,Mulher,60,Branca,Médio completo ou equivalente,13,1420,48042,50000,3500,"Comércio, reparação de veículos automotores e motocicletas",Diretores e gerentes,1216.3335221,10.8197782844103,41,2023
São Paulo,Município de São Paulo (SP),2,Mulher,25,Preta,Superior completo,17,1221,62000,50000,50000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1302.33265907,10.8197782844103,2,2023
São Paulo,,3,Homem,43,Branca,Superior completo,17,1219,66002,50000,50000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1185.2360911,10.8197782844103,20,2023
São Paulo,,3,Homem,29,Branca,Superior completo,17,2142,41000,50000,15000,Construção,Profissionais das ciências e intelectuais,1241.05774022,10.8197782844103,6,2023
São Paulo,,4,Homem,38,Branca,Superior completo,17,6111,01107,50000,50000,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca",135.1688891,10.8197782844103,15,2023
São Paulo,,3,Homem,61,Branca,Superior completo,17,2261,86002,50000,50000,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,1672.29681975,10.8197782844103,38,2023
São Paulo,,3,Homem,59,Branca,Superior completo,17,2212,86001,45000,45000,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,1480.65784566,10.7144177687525,36,2023
São Paulo,Município de São Paulo (SP),4,Homem,47,Branca,Superior completo,17,2654,60002,40000,40000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,2160.55596595,10.5966347330961,24,2023
São Paulo,Município de São Paulo (SP),4,Mulher,42,Branca,Superior completo,17,1349,68000,40000,40000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1886.05068331,10.5966347330961,19,2023
São Paulo,Município de São Paulo (SP),5,Homem,52,Branca,Superior completo,17,2421,68000,40000,40000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1975.09254936,10.5966347330961,29,2023
São Paulo,Município de São Paulo (SP),1,Homem,47,Branca,Superior completo,17,1420,48075,40000,40000,"Comércio, reparação de veículos automotores e motocicletas",Diretores e gerentes,1917.79066922,10.5966347330961,24,2023
São Paulo,Município de São Paulo (SP),3,Homem,56,Branca,Superior completo,17,1120,65000,40000,40000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1298.12528728,10.5966347330961,33,2023
São Paulo,Município de São Paulo (SP),3,Homem,38,Branca,Superior completo,17,2431,62000,40000,75000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,2430.02556758,10.5966347330961,15,2023
São Paulo,Município de São Paulo (SP),4,Homem,47,Branca,Superior completo,17,2431,48030,40000,40000,"Comércio, reparação de veículos automotores e motocicletas",Profissionais das ciências e intelectuais,2005.21911783,10.5966347330961,24,2023
São Paulo,Município de São Paulo (SP),2,Homem,27,Amarela,Superior completo,17,2512,62000,40000,40000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1101.07700926,10.5966347330961,4,2023
São Paulo,Município de São Paulo (SP),3,Homem,36,Branca,Superior completo,17,2654,59000,40000,40000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1062.92727038,10.5966347330961,13,2023
São Paulo,,4,Homem,40,Parda,Médio completo ou equivalente,13,3119,48075,40000,55000,"Comércio, reparação de veículos automotores e motocicletas",Técnicos e profissionais de nível médio,1503.91491101,10.5966347330961,21,2023
São Paulo,,2,Homem,24,Branca,Superior completo,17,1120,48050,40000,52000,"Comércio, reparação de veículos automotores e motocicletas",Diretores e gerentes,254.09306395,10.5966347330961,1,2023
São Paulo,,3,Homem,57,Branca,Superior completo,17,2212,86001,40000,18500,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,1241.05774022,10.5966347330961,34,2023
São Paulo,,4,Mulher,47,Branca,Superior completo,17,2261,86002,40000,40000,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,1966.36415697,10.5966347330961,24,2023
São Paulo,,4,Homem,56,Branca,Superior completo,17,2421,41000,40000,55000,Construção,Profissionais das ciências e intelectuais,970.34838484,10.5966347330961,33,2023
São Paulo,,3,Homem,37,Branca,Superior completo,16,2512,62000,40000,40000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1098.17831365,10.5966347330961,15,2023
São Paulo,Município de São Paulo (SP),2,Homem,59,Branca,Superior completo,17,1219,82002,35000,35000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1985.19260895,10.4631033404715,36,2023
São Paulo,Município de São Paulo (SP),1,Mulher,41,Branca,Superior completo,17,2611,84016,35000,35000,"Administração pública, defesa e seguridade social ",Profissionais das ciências e intelectuais,1047.99824116,10.4631033404715,18,2023
São Paulo,Município de São Paulo (SP),3,Mulher,33,Branca,Superior completo,17,1321,21000,35000,19800,Indústria geral,Diretores e gerentes,1404.37475874,10.4631033404715,10,2023
São Paulo,Município de São Paulo (SP),2,Homem,58,Branca,Superior completo,17,2611,84016,35000,35000,"Administração pública, defesa e seguridade social ",Profissionais das ciências e intelectuais,1509.79108436,10.4631033404715,35,2023
São Paulo,Município de São Paulo (SP),2,Homem,34,Branca,Superior completo,17,2511,53002,35000,35000,"Transporte, armazenagem e correio ",Profissionais das ciências e intelectuais,989.44858282,10.4631033404715,11,2023
São Paulo,Município de São Paulo (SP),2,Homem,55,Branca,Superior completo,17,1330,62000,35000,35000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,805.58564527,10.4631033404715,32,2023
São Paulo,Município de São Paulo (SP),4,Homem,34,Parda,Médio completo ou equivalente,13,2642,82002,35000,35000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1742.76736008,10.4631033404715,15,2023
São Paulo,Município de São Paulo (SP),2,Homem,58,Branca,Superior completo,17,2411,69000,35000,35000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,740.1983443,10.4631033404715,35,2023
São Paulo,,4,Homem,39,Branca,Superior completo,17,2512,62000,35000,35000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,59.16591211,10.4631033404715,16,2023
São Paulo,,2,Homem,63,Branca,Superior completo,17,4110,84016,34000,34000,"Administração pública, defesa e seguridade social ",Trabalhadores de apoio administrativo,192.50368753,10.4341158035983,40,2023
São Paulo,Município de São Paulo (SP),1,Mulher,49,Branca,Superior completo,17,2619,69000,33000,33000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1602.07761438,10.4042628404486,26,2023
São Paulo,,2,Homem,59,Branca,Superior completo,17,2310,85014,32500,32500,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,46.25479666,10.3889953683178,36,2023
São Paulo,Município de São Paulo (SP),5,Mulher,43,Branca,Superior completo,17,2611,85012,32000,32000,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,1109.09618733,10.3734911817819,20,2023
São Paulo,,5,Homem,20,Branca,Superior completo,17,2511,86001,32000,32000,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,1295.92990636,10.3734911817819,0,2023
São Paulo,,3,Homem,35,Branca,Superior completo,17,2411,84012,32000,33400,"Administração pública, defesa e seguridade social ",Profissionais das ciências e intelectuais,2908.47188382,10.3734911817819,12,2023
São Paulo,,4,Homem,43,Branca,Superior completo,17,2611,84016,32000,32000,"Administração pública, defesa e seguridade social ",Profissionais das ciências e intelectuais,1429.99918425,10.3734911817819,20,2023
São Paulo,Município de São Paulo (SP),1,Homem,56,Branca,Superior completo,17,1213,49010,31500,31500,"Transporte, armazenagem e correio ",Diretores e gerentes,1402.29716071,10.3577428248137,33,2023
São Paulo,Município de São Paulo (SP),4,Homem,49,Branca,Superior completo,17,2411,84012,31500,31500,"Administração pública, defesa e seguridade social ",Profissionais das ciências e intelectuais,1989.25744493,10.3577428248137,26,2023
São Paulo,Município de São Paulo (SP),3,Homem,39,Branca,Superior completo,17,1221,48073,30000,30000,"Comércio, reparação de veículos automotores e motocicletas",Diretores e gerentes,2411.54721843,10.3089526606443,16,2023
São Paulo,Município de São Paulo (SP),2,Homem,35,Branca,Superior completo,17,2212,86002,30000,5100,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,1772.53613071,10.3089526606443,12,2023
São Paulo,Município de São Paulo (SP),3,Homem,37,Branca,Superior completo,17,1219,49010,30000,30000,"Transporte, armazenagem e correio ",Diretores e gerentes,1588.42738684,10.3089526606443,14,2023
São Paulo,Município de São Paulo (SP),2,Homem,42,Branca,Superior completo,17,2611,62000,30000,60000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1552.95732582,10.3089526606443,19,2023
São Paulo,Município de São Paulo (SP),1,Homem,38,Parda,Superior completo,17,2511,62000,30000,20000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1782.13419783,10.3089526606443,15,2023
São Paulo,Município de São Paulo (SP),3,Homem,64,Branca,Superior completo,17,2142,41000,30000,30000,Construção,Profissionais das ciências e intelectuais,1388.76072632,10.3089526606443,41,2023
São Paulo,Município de São Paulo (SP),4,Homem,43,Branca,Superior completo,17,2631,66001,30000,33000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,2040.94803714,10.3089526606443,20,2023
São Paulo,Município de São Paulo (SP),1,Homem,59,Amarela,Superior completo,17,2212,86003,30000,30000,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,1203.3287557,10.3089526606443,36,2023
São Paulo,Município de São Paulo (SP),5,Homem,54,Branca,Superior completo,17,1420,48030,30000,25000,"Comércio, reparação de veículos automotores e motocicletas",Diretores e gerentes,1010.54628549,10.3089526606443,31,2023
São Paulo,Município de São Paulo (SP),1,Homem,55,Branca,Superior completo,17,2411,69000,30000,30000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,2059.3054582,10.3089526606443,32,2023
São Paulo,Município de São Paulo (SP),1,Mulher,32,Branca,Superior completo,17,1211,27010,30000,39000,Indústria geral,Diretores e gerentes,1543.33561614,10.3089526606443,9,2023
São Paulo,Município de São Paulo (SP),3,Mulher,40,Branca,Superior completo,17,2212,86001,30000,30000,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,1358.68986874,10.3089526606443,17,2023
São Paulo,Município de São Paulo (SP),3,Homem,57,Branca,Superior completo,17,1330,52020,30000,45000,"Transporte, armazenagem e correio ",Diretores e gerentes,1210.57798579,10.3089526606443,34,2023
São Paulo,Município de São Paulo (SP),3,Homem,55,Branca,Superior completo,17,1221,10010,30000,30000,Indústria geral,Diretores e gerentes,1985.27976018,10.3089526606443,32,2023
São Paulo,Município de São Paulo (SP),2,Homem,47,Branca,Superior completo,17,2611,69000,30000,30000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,2365.03071777,10.3089526606443,24,2023
São Paulo,Município de São Paulo (SP),3,Homem,30,Parda,Superior completo,17,2212,86002,30000,50000,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,1463.02017513,10.3089526606443,7,2023
São Paulo,Município de São Paulo (SP),3,Homem,32,Parda,Superior completo,17,2212,86001,30000,70000,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,1463.02017513,10.3089526606443,9,2023
São Paulo,Município de São Paulo (SP),2,Homem,35,Branca,Superior completo,17,1221,48073,30000,30000,"Comércio, reparação de veículos automotores e motocicletas",Diretores e gerentes,2064.2159408,10.3089526606443,12,2023
São Paulo,Município de São Paulo (SP),3,Homem,31,Branca,Superior completo,17,2413,56011,30000,30000,Alojamento e alimentação ,Profissionais das ciências e intelectuais,2258.65201619,10.3089526606443,8,2023
São Paulo,Município de São Paulo (SP),1,Mulher,43,Branca,Superior completo,17,1219,64000,30000,45000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1161.50713383,10.3089526606443,20,2023
São Paulo,Município de São Paulo (SP),3,Homem,64,Branca,Superior completo,17,2611,69000,30000,30000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1227.99010888,10.3089526606443,41,2023
São Paulo,Município de São Paulo (SP),4,Homem,62,Amarela,Superior completo,17,2142,71000,30000,30000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1732.84117774,10.3089526606443,39,2023
São Paulo,Município de São Paulo (SP),3,Homem,51,Amarela,Superior completo,17,2411,84011,30000,40000,"Administração pública, defesa e seguridade social ",Profissionais das ciências e intelectuais,1645.59225025,10.3089526606443,28,2023
São Paulo,Município de São Paulo (SP),5,Mulher,49,Branca,Superior completo,17,1439,96020,30000,30000,Outros Serviços,Diretores e gerentes,2182.4950233,10.3089526606443,26,2023
São Paulo,Município de São Paulo (SP),4,Homem,39,Branca,Superior completo,17,2411,69000,30000,40000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1595.68073738,10.3089526606443,16,2023
São Paulo,Município de São Paulo (SP),4,Homem,48,Preta,Superior incompleto ou equivalente,17,3513,62000,30000,20000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Técnicos e profissionais de nível médio,1796.03650386,10.3089526606443,25,2023
São Paulo,Município de São Paulo (SP),3,Homem,40,Branca,Superior completo,17,1222,64000,30000,30000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1021.01941615,10.3089526606443,17,2023
São Paulo,Município de São Paulo (SP),3,Homem,41,Branca,Superior completo,17,2421,69000,30000,30000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,676.25867618,10.3089526606443,18,2023
São Paulo,Município de São Paulo (SP),4,Homem,41,Branca,Superior incompleto ou equivalente,17,1321,32009,30000,30000,Indústria geral,Diretores e gerentes,1729.21237961,10.3089526606443,18,2023
São Paulo,,1,Mulher,63,Branca,Superior completo,17,2611,84013,30000,30000,"Administração pública, defesa e seguridade social ",Profissionais das ciências e intelectuais,784.2514792,10.3089526606443,40,2023
São Paulo,,4,Homem,41,Branca,Superior completo,17,1346,64000,30000,40000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1094.86679905,10.3089526606443,18,2023
São Paulo,,3,Homem,42,Branca,Superior incompleto ou equivalente,15,2431,18000,30000,33000,Indústria geral,Profissionais das ciências e intelectuais,219.56414435,10.3089526606443,21,2023
São Paulo,,2,Homem,47,Branca,Superior completo,17,2511,62000,30000,30000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,539.81685471,10.3089526606443,24,2023
São Paulo,,3,Homem,49,Branca,Médio completo ou equivalente,14,1219,66002,30000,15000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1672.35506147,10.3089526606443,29,2023
São Paulo,,3,Homem,56,Branca,Médio completo ou equivalente,13,5221,48050,30000,30000,"Comércio, reparação de veículos automotores e motocicletas","Trabalhadores dos serviços, vendedores dos comércios e mercados",572.83623133,10.3089526606443,37,2023
São Paulo,,2,Homem,62,Branca,Superior completo,15,3355,84016,30000,30000,"Administração pública, defesa e seguridade social ",Técnicos e profissionais de nível médio,1262.99265653,10.3089526606443,41,2023
São Paulo,,2,Homem,36,Branca,Superior completo,17,2212,86001,30000,30000,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,3321.58092448,10.3089526606443,13,2023
São Paulo,,5,Homem,51,Branca,Superior completo,17,6111,01105,30000,30000,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca",1871.93344158,10.3089526606443,28,2023
São Paulo,,3,Mulher,27,Parda,Médio completo ou equivalente,13,7512,56011,30000,0,Alojamento e alimentação ,"Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios",2813.9593707,10.3089526606443,8,2023
São Paulo,,3,Homem,51,Branca,Superior completo,17,6121,01201,30000,30000,"Agricultura, pecuária, produção florestal, pesca e aquicultura","Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca",493.83850388,10.3089526606443,28,2023
São Paulo,,3,Homem,47,Branca,Superior completo,17,2145,19030,30000,30000,Indústria geral,Profissionais das ciências e intelectuais,515.65151337,10.3089526606443,24,2023
São Paulo,,4,Homem,50,Branca,Superior completo,17,9212,01201,30000,30000,"Agricultura, pecuária, produção florestal, pesca e aquicultura",Ocupações elementares,284.97442731,10.3089526606443,27,2023
São Paulo,,1,Homem,39,Branca,Médio completo ou equivalente,13,1323,41000,30000,30000,Construção,Diretores e gerentes,2091.88294464,10.3089526606443,20,2023
São Paulo,,4,Homem,47,Branca,Superior completo,17,5221,48080,30000,30000,"Comércio, reparação de veículos automotores e motocicletas","Trabalhadores dos serviços, vendedores dos comércios e mercados",1106.6665499,10.3089526606443,24,2023
São Paulo,,4,Mulher,36,Branca,Médio completo ou equivalente,13,5221,48080,30000,30000,"Comércio, reparação de veículos automotores e motocicletas","Trabalhadores dos serviços, vendedores dos comércios e mercados",1106.6665499,10.3089526606443,17,2023
São Paulo,,3,Homem,42,Parda,Superior completo,17,2411,84011,30000,50000,"Administração pública, defesa e seguridade social ",Profissionais das ciências e intelectuais,894.2828159,10.3089526606443,19,2023
São Paulo,,3,Homem,57,Branca,Superior completo,17,3153,52020,30000,30000,"Transporte, armazenagem e correio ",Técnicos e profissionais de nível médio,719.73879906,10.3089526606443,34,2023
São Paulo,Município de São Paulo (SP),1,Homem,37,Branca,Superior completo,17,2512,62000,29180,29180,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,2575.13241575,10.2812388220768,14,2023
São Paulo,Município de São Paulo (SP),3,Homem,33,Branca,Superior completo,17,2611,69000,29000,80000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1404.37475874,10.2750511089686,10,2023
São Paulo,Município de São Paulo (SP),4,Mulher,38,Branca,Superior completo,17,2411,84012,27500,25000,"Administração pública, defesa e seguridade social ",Profissionais das ciências e intelectuais,1989.25744493,10.2219412836547,15,2023
São Paulo,Município de São Paulo (SP),3,Homem,59,Branca,Superior completo,17,2413,66001,27300,27300,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1264.44680319,10.2146419811731,36,2023
São Paulo,Município de São Paulo (SP),2,Homem,35,Branca,Superior completo,17,2212,86001,27000,27000,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,1781.38367011,10.2035921449865,12,2023
São Paulo,,3,Homem,49,Branca,Superior completo,17,2211,86001,27000,27000,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,839.17915161,10.2035921449865,26,2023
São Paulo,Município de São Paulo (SP),5,Homem,52,Branca,Superior completo,17,2212,86002,25000,35000,"Educação, saúde humana e serviços sociais",Profissionais das ciências e intelectuais,2088.09644917,10.1266311038503,29,2023
São Paulo,Município de São Paulo (SP),4,Homem,46,Parda,Superior completo,17,2142,48071,25000,25000,"Comércio, reparação de veículos automotores e motocicletas",Profissionais das ciências e intelectuais,1608.53940021,10.1266311038503,23,2023
São Paulo,Município de São Paulo (SP),2,Homem,32,Branca,Superior completo,17,1120,62000,25000,25000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,2415.23074859,10.1266311038503,9,2023
São Paulo,Município de São Paulo (SP),2,Homem,33,Branca,Superior completo,17,1346,64000,25000,25000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,2415.23074859,10.1266311038503,10,2023
São Paulo,Município de São Paulo (SP),4,Mulher,41,Branca,Superior completo,17,2431,73010,25000,60000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1886.05068331,10.1266311038503,18,2023
São Paulo,Município de São Paulo (SP),3,Mulher,32,Branca,Superior completo,17,1212,69000,25000,35000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,2126.2359153,10.1266311038503,9,2023
São Paulo,Município de São Paulo (SP),2,Homem,54,Parda,Superior completo,17,2120,62000,25000,25000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,1260.61512185,10.1266311038503,31,2023
São Paulo,Município de São Paulo (SP),2,Homem,37,Branca,Superior completo,17,1219,71000,25000,25000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1595.75323904,10.1266311038503,14,2023
São Paulo,Município de São Paulo (SP),1,Mulher,35,Branca,Superior completo,17,2619,09000,25000,35000,Indústria geral,Profissionais das ciências e intelectuais,1245.39772152,10.1266311038503,12,2023
São Paulo,Município de São Paulo (SP),2,Homem,32,Branca,Superior completo,17,2631,64000,25000,25000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Profissionais das ciências e intelectuais,921.89110865,10.1266311038503,9,2023
São Paulo,Município de São Paulo (SP),4,Homem,46,Branca,Superior completo,17,1330,62000,25000,25000,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",Diretores e gerentes,1249.10119324,10.1266311038503,23,2023
